condition_id,position_id,distance_band,lateral_band,initial_yaw_deg_wrap90,manual_success,manual_primary_failure_type,manual_quality_flags,manual_note,shared_autonomy_success,shared_autonomy_primary_failure_type,shared_autonomy_quality_flags,shared_autonomy_note
left_near_yaw_0,left_near,near,left,0,true,,xy_offset,Successful face grasp and placement; grasp position was slightly nearer than nominal.,true,,yaw_alignment_error,Successful face grasp and placement; yaw deviation was under 5 degrees.
left_near_yaw_22_5,left_near,near,left,22.5,true,,,Successful clean face grasp and placement.,true,,,Successful clean face grasp and placement.
left_near_yaw_neg22_5,left_near,near,left,-22.5,false,edge_grasp,under_rotation,Failed because insufficient rotation produced an edge grasp.,true,,,Successful clean face grasp and placement.
left_near_yaw_45,left_near,near,left,45,false,grasp_slip_or_drop,under_rotation|slip,Failed because insufficient rotation led to the cube slipping before placement.,true,,yaw_alignment_error,Successful face grasp and placement; yaw deviation was approximately 5 degrees.
center_near_yaw_0,center_near,near,center,0,true,,yaw_alignment_error,Successful face grasp and placement; yaw deviation was under 5 degrees.,true,,xy_offset|yaw_alignment_error,Successful face grasp and placement; grasp position was slightly farther than nominal and yaw deviation was under 5 degrees.
center_near_yaw_22_5,center_near,near,center,22.5,true,,,Successful clean face grasp and placement.,true,,,Successful clean face grasp and placement.
center_near_yaw_neg22_5,center_near,near,center,-22.5,true,,,"Successful clean face grasp and placement, with a longer hesitation before completion.",true,,over_rotation,Successful face grasp and placement; rotation exceeded nominal by 5-10 degrees.
center_near_yaw_45,center_near,near,center,45,true,,under_rotation,Successful face grasp and placement; rotation was 5-10 degrees below nominal.,true,,under_rotation,Successful face grasp and placement; rotation was 10-15 degrees below nominal.
right_near_yaw_0,right_near,near,right,0,true,,yaw_alignment_error|multiple_attempts,Successful face grasp and placement; yaw deviation exceeded 20 degrees and the gripper opened and closed repeatedly.,true,,yaw_alignment_error,Successful face grasp and placement; yaw deviation was approximately 20 degrees.
right_near_yaw_22_5,right_near,near,right,22.5,true,,xy_offset,Successful face grasp and placement; grasp position was approximately 1 cm left of nominal.,true,,xy_offset|over_rotation,Successful face grasp and placement; grasp position was approximately 1 cm left of nominal and rotation exceeded nominal by 5-10 degrees.
right_near_yaw_neg22_5,right_near,near,right,-22.5,true,,wrong_rotation_sign|under_rotation,Successful face grasp on the alternate opposing faces; orientation was closer to +67.5 degrees and was 10-20 degrees below that orientation.,true,,wrong_rotation_sign|yaw_alignment_error,Successful face grasp and placement after rotating in the opposite direction; yaw deviation was 25-30 degrees.
right_near_yaw_45,right_near,near,right,45,true,,under_rotation,Successful face grasp and placement; rotation was 5-10 degrees below nominal.,true,,xy_offset,Successful face grasp and placement; grasp position was approximately 1 cm left of nominal.
